cell_name	fate
ABplapaaap	Neu
ABplapaapa	other
ABplapaapp	Ski
ABplapapaa	other
ABplapapap	Ski
ABplapappa	Ski
ABplapappp	Neu
ABplappaaa	Ski
ABplappaap	Ski
ABplappapa	Ski
ABplappapp	Ski
ABplapppaa	Neu
ABplapppap	Neu
ABplappppa	Ski
ABplappppp	Ski
ABplpaaaaa	Neu
ABplpaaaap	other
ABplpaaapa	Neu
ABplpaaapp	Neu
ABplpaapaa	Neu
ABplpaapap	Neu
ABplpaappa	Neu
ABplpaappp	Neu
ABplpapaaa	Neu
ABplpapaap	Neu
ABplpapapa	other
ABplpapapp	Neu
ABplpappaa	other
ABplpappap	Dea
ABplpapppa	other
ABplpapppp	other
ABplppaaaa	Neu
ABplppaaap	Dea
ABplppaapa	Neu
ABplppaapp	Neu
ABplppapaa	Neu
ABplppapap	Neu
ABplppappa	Neu
ABplppappp	Neu
ABplpppaaa	Neu
ABplpppaap	Neu
ABplpppapa	other
ABplpppapp	Dea
ABplppppaa	other
ABplppppap	other
ABplpppppa	other
ABplpppppp	Ski
ABpraaaaaa	Neu
ABpraaaaap	Neu
ABpraaaapa	Neu
ABpraaaapp	Neu
ABpraaapaa	Neu
ABpraaapap	Neu
ABpraaappa	Neu
ABpraaappp	Neu
ABpraapaaa	other
ABpraapaap	Neu
ABpraapapa	Neu
ABpraapapp	Neu
ABpraappaa	Ski
ABpraappap	Ski
ABpraapppa	Ski
ABpraapppp	Ski
ABprapaaaa	Neu
ABprapaaap	Neu
ABprapaapa	other
ABprapaapp	Ski
ABprapapaa	other
ABprapapap	Ski
ABprapappa	Ski
ABprapappp	Neu
ABprappaaa	Ski
ABprappaap	Ski
ABprappapa	Ski
ABprappapp	Ski
ABprapppaa	Neu
ABprapppap	Neu
ABprappppa	Ski
ABprappppp	Ski
ABprpaaaaa	Neu
ABprpaaaap	other
ABprpaaapa	Neu
ABprpaaapp	Neu
ABprpaapaa	Neu
ABprpaapap	Neu
ABprpaappa	Neu
ABprpaappp	Neu
ABprpapaaa	Neu
ABprpapaap	Neu
ABprpapapa	other
ABprpapapp	Neu
ABprpappaa	Neu
ABprpappap	Neu
ABprpapppa	Neu
ABprpapppp	other
ABprppaaaa	Neu
ABprppaaap	Dea
ABprppaapa	Neu
ABprppaapp	Neu
ABprppapaa	Neu
ABprppapap	Neu
ABprppappa	Neu
ABprppappp	Neu
ABprpppaaa	other
ABprpppaap	Neu
ABprpppapa	other
ABprpppapp	Dea
ABprppppaa	other
ABprppppap	other
ABprpppppa	other
ABprpppppp	Ski
MSaaaaaa	other
MSaaaaap	Pha
MSaaaapa	Pha
MSaaaapp	Pha
MSaaapaa	Pha
MSaaapap	Pha
MSaaapp	other
MSaapaaa	Pha
MSaapaap	Pha
MSaapapa	Pha
MSaapapp	other
MSaappa	other
MSaappp	Mus
MSapaaaa	other
MSapaaap	Mus
MSapaap	other
MSapapaa	other
MSapapap	Mus
MSapappa	Mus
MSapappp	Mus
MSappaaa	other
MSappaap	other
MSappap	Mus
MSapppaa	Mus
MSapppap	Mus
MSapppp	Mus
MSpaaaaa	Pha
MSpaaaap	Pha
MSpaaapa	Pha
MSpaaapp	Pha
MSpaapaa	Pha
MSpaapap	other
MSpaapp	Dea
MSpapaaa	Pha
MSpapaap	Pha
MSpapapa	Pha
MSpapapp	other
MSpappa	Mus
MSpappp	Mus
MSppaaaa	other
MSppaaap	Mus
MSppaapa	Dea
MSppaapp	other
MSppapaa	other
MSppapap	Mus
MSppappa	Mus
MSppappp	Mus
MSpppaa	other
MSpppap	Mus
MSppppaa	Mus
MSppppap	Mus
MSpppppa	Mus
MSpppppp	Mus
Ealaa	Int
Ealap	Int
Ealpa	Int
Ealpp	Int
Earaa	Int
Earap	Int
Earpa	Int
Earpp	Int
Eplaa	Int
Eplap	Int
Eplpa	Int
Eplpp	Int
Epraa	Int
Eprap	Int
Eprpa	Int
Eprpp	Int
Caaaaa	Ski
Caaaap	Ski
Caaapa	Ski
Caaapp	Ski
Caapa	Neu
Caappd	Ski
Caappv	Neu
Capaaa	Mus
Capaap	Mus
Capapa	Mus
Capapp	Mus
Cappaa	Mus
Cappap	Mus
Capppa	Mus
Capppp	Mus
Cpaaaa	Ski
Cpaaap	Ski
Cpaapa	Ski
Cpaapp	Ski
Cpapaa	Ski
Cpapap	Ski
Cpappd	Ski
Cpappv	Ski
Cppaaa	Mus
Cppaap	Mus
Cppapa	Mus
Cppapp	Mus
Cpppaa	Mus
Cpppap	Mus
Cppppa	Mus
Cppppp	Mus
Daaa	Mus
Daap	Mus
Dapa	Mus
Dapp	Mus
Dpaa	Mus
Dpap	Mus
Dppa	Mus
Dppp	Mus
